Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Tinet,EFFRES,3,35,46,35-46,True,0.04040382256540184,1163,-1,N/A,,False
Tinet,EFFRES,4,4,9,4-9,True,0.0052665207196737115,194,-1,N/A,,False
Tinet,EFFRES,5,7,29,7-29,True,0.07855581312341381,343,-1,N/A,,False
Tinet,EFFRES,6,9,41,9-41,True,0.01857089694372452,437,-1,N/A,,False
Tinet,EFFRES,7,26,31,26-31,True,0.056206193137376834,976,-1,N/A,,False
Tinet,EFFRES,8,40,50,40-50,True,0.04545723511856655,1232,-1,N/A,,False
Tinet,IVI,1,15,44,15-44,True,5.0,664,-1,N/A,,False
Tinet,IVI,2,6,30,6-30,True,5.0,299,-1,N/A,,False
Tinet,IVI,3,35,47,35-47,True,0.0,1164,-1,N/A,,False
Tinet,IVI,4,4,9,4-9,True,0.0,194,-1,N/A,,False
Tinet,IVI,5,7,29,7-29,True,5.0,343,-1,N/A,,False
Tinet,IVI,6,9,41,9-41,True,5.0,437,-1,N/A,,False
Tinet,IVI,7,26,33,26-33,True,0.0,977,-1,N/A,,False
Tinet,IVI,8,40,51,40-51,True,0.0,1233,-1,N/A,,False
Tinet,NNSI,1,12,33,12-33,True,-0.5989698923830664,548,-1,N/A,,False
Tinet,NNSI,2,6,30,6-30,True,0.0,299,-1,N/A,,False
Tinet,NNSI,3,35,47,35-47,True,0.0,1164,-1,N/A,,False
Tinet,NNSI,4,4,9,4-9,True,0.0,194,-1,N/A,,False
Tinet,NNSI,5,7,29,7-29,True,0.0,343,-1,N/A,,False
Tinet,NNSI,6,9,41,9-41,True,0.0,437,-1,N/A,,False
Tinet,NNSI,7,26,33,26-33,True,0.0,977,-1,N/A,,False
Tinet,NNSI,8,40,51,40-51,True,0.0,1233,-1,N/A,,False
Uninett2011,PBR,1,6,33,6-33,True,0.00016025351114317841,396,-1,N/A,,False
